airTemp,waterTemp,salinity,pH,turbidity,sunRadiation,rainfall,rainfall24,rainfall48,rainfall72,windDirection,windStrength,UBB/37,UBB/22,EC,EN,PA,SA,CP,numBathers,numChildren,numDogs,numSeagull,numPigeons,beachUnclean,seaSurfaceUnclean,wellspring,coasalSorce,seaTurbidity
20,16.6,21.9,7.7,3.6,133.88,0,2.3,2.3,2.3,22,1.1,80,17,18,0,0,0,7,0,0,0,10,0,0,0,3,1,0
20,17,31.7,8.02,0.7,125.78,0,2.3,2.3,2.3,22,1.1,240,420,33,3,0,0,10,12,0,0,0,0,0,0,0,0,0
20,18.5,28.9,8.01,1.8,122.83,0,2.3,2.3,2.3,22,1.1,100,71,10,2,1,1,16,12,0,0,1,0,0,0,0,0,0
20,18,34.5,8.07,1.8,116.2,0,2.3,2.3,2.3,20,0.4,200,15,3,3,7,7,3,8,0,0,0,0,0,0,0,0,0
20,18,32.4,8.05,2.2,70.47,0,2.3,2.3,2.3,20,0.4,160,26,20,70,0,0,0,26,2,0,0,0,0,0,0,0,0
22,16.5,26.8,7.97,0.76,770.71,0,2.3,2.3,2.3,22,1.8,100,22,15,55,7,12,15,0,0,0,51,0,1,0,3,1,0
24,16.5,27.9,7.99,1.01,741.13,0,2.3,2.3,2.3,22,1.8,120,4,120,11,1,1,7,36,0,0,20,0,1,0,0,2,0
24,18,29,8.01,1.26,720,0,2.3,2.3,2.3,22,1.8,200,60,13,10,3,0,4,17,0,0,1,0,1,0,0,0,0
24,18.5,30,8.02,1.51,698.87,0,2.3,2.3,2.3,22,1.4,60,25,3,5,5,5,7,5,0,0,0,0,0,0,0,0,0
25,19,31.1,8.03,1.77,648.16,0,2.3,2.3,2.3,22,1.4,240,110,18,130,1,3,1,5,0,0,0,0,0,0,0,0,0
22,18.2,25.51,7.96,0.5,98,2.5,2.5,4.8,4.8,2,1,60,2001,130,20,10,2,4,0,0,0,0,0,0,1,3,2,0
22,17,23.28,7.79,0.4,98,2.5,2.5,4.8,4.8,32,0.7,20,2001,390,40,10,5,8,0,0,0,10,0,1,0,3,3,0
22,17.8,37.46,7.96,0.6,98,2.5,2.5,4.8,4.8,32,0.7,20,800,2,23,0,6,6,0,0,0,10,0,1,0,0,0,0
21,18.5,34.95,7.88,0.4,98,2.5,2.5,4.8,4.8,32,0.7,80,320,80,17,130,100,5,0,0,0,0,0,0,0,2,0,0
21,18,36.79,7.95,0.5,98,3.25,2.5,4.8,4.8,32,0.7,0,320,0,35,8,1,2,0,0,0,0,0,0,0,0,0,0
