AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowDepth,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,ecoli
23.8,0.11,-134,15.3,14.4,356,401,353,709,668,705,28.5,55.6,0,974,212,3.5,29,6
23.8,0.11,-134,14.4,14.4,346,420,370,716,675,710,28.6,55.7,0,974.5,212,3.5,29,20
23.8,0.11,-134,14.4,14.4,346,420,370,716,675,710,28.6,55.7,0,974.5,212,3.5,29,70
22.6,0.12,-114,0,14.6,144,765,603,747,690,845,27.6,60.4,0,973.3,215,3.1,38,7
22.6,0.12,-114,0,14.6,144,765,603,747,690,845,27.6,60.4,0,973.3,215,3.1,38,1300
25.6,0.11,134,0.1,14.1,162,769,672,834,799,836,30.1,49.1,0,973.6,208,4.5,29,23
25.6,0.11,134,0.1,14.2,163,767,670,833,798,835,30.2,49.3,0,974.1,207,4.5,29,42
25.6,0.11,134,0.1,14.2,163,767,670,833,798,835,30.2,49.3,0,974.1,207,4.5,29,80
25.6,0.12,134,0.8,14.1,173,752,656,829,793,831,30.1,48.9,0,972.8,209,4.5,29,0
25.6,0.12,134,0.8,14.1,173,752,656,829,793,831,30.1,48.9,0,972.8,209,4.5,29,20
22.9,0.11,79,10.2,13.6,120,365,140,260,168,502,28.9,55.7,0,974,199,3.1,69,30
22.9,0.11,79,9.8,13.6,123,356,137,260,170,496,28.9,55.8,0,974.4,198,3.1,69,12
22.9,0.11,79,9.8,13.6,123,356,137,260,170,496,28.9,55.8,0,974.4,198,3.1,69,30
22.9,0.12,78,16.4,13.6,143,255,100,242,173,417,28.9,55.6,0,973.1,201,3.1,69,21
22.9,0.12,78,16.4,13.6,143,255,100,242,173,417,28.9,55.6,0,973.1,201,3.1,69,23
19,0.11,35,20.5,13.9,0,0,0,0,0,0,27.3,72.5,0,974.2,166,2.2,104,62
19,0.11,35,19.5,13.9,0,0,0,0,0,0,27.3,72.5,0,974.6,165,2.2,104,250
19,0.11,35,19.5,13.9,0,0,0,0,0,0,27.3,72.5,0,974.6,165,2.2,104,1040
18.9,0.12,35,19.8,13.9,0,0,0,0,0,0,27.2,72.5,0,973.3,169,2.1,104,2
18.9,0.12,35,19.8,13.9,0,0,0,0,0,0,27.2,72.5,0,973.3,169,2.1,104,13
17.5,0.12,-22,14.2,15.1,0,0,0,0,0,0,31.9,85.6,0,973.8,127,0.9,109,9
17.6,0.12,-22,17.7,15.1,0,0,0,0,0,0,31.9,85.5,0,974.3,122,0.9,109,24
17.6,0.12,-22,17.7,15.1,0,0,0,0,0,0,31.9,85.5,0,974.3,122,0.9,109,780
16.9,0.12,-35,44.9,14.8,0,0,0,0,0,0,32.3,87.4,0,973,125,1.2,104,1
16.9,0.12,-35,44.9,14.8,0,0,0,0,0,0,32.3,87.4,0,973,125,1.2,104,60
17.7,0.12,-68,71,16,31,0,0,31,28,31,32.5,89.8,0,973.8,118,2,79,108
17.8,0.12,-68,72.6,16,29,0,0,29,26,29,32.5,89.6,0,974.2,117,2,79,150
17.8,0.12,-68,72.6,16,29,0,0,29,26,29,32.5,89.6,0,974.2,117,2,79,520
18.6,0.12,-78,69.7,17,80,14,6,87,77,97,32.3,90.1,0,973.1,123,2.3,69,22
18.6,0.12,-78,69.7,17,80,14,6,87,77,97,32.3,90.1,0,973.1,123,2.3,69,70
23.7,0.12,-133,59.3,17.3,331,0,0,331,300,331,32.2,67.6,0,974.1,173,2.6,29,33
23,0.12,-114,63.7,17.4,267,0,0,267,242,267,33,70.6,0,974.6,161,2.3,38,18
23,0.12,-114,63.7,17.4,267,0,0,267,242,267,33,70.6,0,974.6,161,2.3,38,2200
23,0.12,-114,68.8,17.4,230,0,0,230,208,230,33,70.7,0,973.4,162,2.3,38,2
23,0.12,-114,68.8,17.4,230,0,0,230,208,230,33,70.7,0,973.4,162,2.3,38,405
23.6,0.12,134,57.8,16.6,349,0,0,349,316,349,27.7,64.7,0,973.4,189,3.6,29,94
23.6,0.12,134,58.9,16.6,339,0,0,339,307,339,27.7,64.8,0,973.9,189,3.6,29,40
23.6,0.12,134,58.9,16.6,339,0,0,339,307,339,27.7,64.8,0,973.9,189,3.6,29,1270
23.6,0.12,134,57.8,16.6,351,0,0,351,318,351,27.6,64.6,0,972.7,189,3.6,29,9
23.6,0.12,134,57.8,16.6,351,0,0,351,318,351,27.6,64.6,0,972.7,189,3.6,29,80
24.7,0.12,79,63.6,16,100,0,0,100,91,100,31,58.4,0,972.7,185,2.3,69,10
24.7,0.12,79,66.2,16,93,0,0,93,84,93,31,58.5,0,973.1,185,2.3,69,1
24.7,0.12,79,66.2,16,93,0,0,93,84,93,31,58.5,0,973.1,185,2.3,69,300
23.4,0.12,69,61.8,17,38,0,0,38,34,38,31.7,67.3,0,971.8,174,1.8,79,5
23.4,0.12,69,61.8,17,38,0,0,38,34,38,31.7,67.3,0,971.8,174,1.8,79,130
19.3,0.12,35,0,17.2,0,0,0,0,0,0,31.3,87.6,0,972.6,125,1.4,103,130
18.4,0.12,22,0,16.9,0,0,0,0,0,0,30.9,91.2,0,972.9,107,1.4,109,16
18.4,0.12,22,0,16.9,0,0,0,0,0,0,30.9,91.2,0,972.9,107,1.4,109,650
18.3,0.12,22,0,16.9,0,0,0,0,0,0,30.8,91.5,0,971.7,112,1.5,109,7
18.3,0.12,22,0,16.9,0,0,0,0,0,0,30.8,91.5,0,971.7,112,1.5,109,260
16.8,0.12,-22,0,15.6,0,0,0,0,0,0,28.8,92.2,0,971.7,70,1.6,109,260
16.8,0.12,-22,0,15.5,0,0,0,0,0,0,28.8,92.1,0,972.2,69,1.6,109,200
16.8,0.12,-22,0,15.5,0,0,0,0,0,0,28.8,92.1,0,972.2,69,1.6,109,390
16.3,0.12,-35,0,15.3,0,0,0,0,0,0,28,93.8,0,970.7,73,1.5,104,52
16.3,0.12,-35,0,15.3,0,0,0,0,0,0,28,93.8,0,970.7,73,1.5,104,390
16.6,0.12,-68,57.6,15.7,50,0,0,50,46,50,26.2,94.6,0,971.1,124,0.8,79,1300
17.3,0.12,-78,59.7,16.2,111,0,0,111,101,111,25.6,93.6,0,971.4,164,0.9,69,650
17.3,0.12,-78,59.7,16.2,111,0,0,111,101,111,25.6,93.6,0,971.4,164,0.9,69,260
17.3,0.12,-78,54.1,16.2,126,0,0,126,115,126,25.6,93.4,0,970.2,168,1,69,390
17.3,0.12,-78,54.1,16.2,126,0,0,126,115,126,25.6,93.4,0,970.2,168,1,69,100
19.5,0.12,-114,38.5,17.6,409,73,60,468,430,477,23,88.9,0,970.8,214,2.7,38,130
19.5,0.12,-114,36.7,17.6,411,86,71,483,444,492,22.9,88.8,0,971.3,214,2.7,38,280
19.5,0.12,-114,36.7,17.6,411,86,71,483,444,492,22.9,88.8,0,971.3,214,2.7,38,70
20.4,0.12,-133,6.2,17.2,240,648,567,807,764,801,22,81.7,0,970,218,3.3,29,20
20.4,0.12,-133,6.2,17.2,240,648,567,807,764,801,22,81.7,0,970,218,3.3,29,30
23.1,0.12,134,50.7,12.6,399,32,28,427,391,430,19.2,51.8,0,970.5,220,4.9,29,1300
23.1,0.12,134,50.4,12.6,398,37,31,429,394,432,19.2,51.6,0,971,220,4.9,29,280
23.1,0.12,134,50.4,12.6,398,37,31,429,394,432,19.2,51.6,0,971,220,4.9,29,130
23.1,0.12,114,38.7,10.5,413,76,58,471,434,489,18.9,44.8,0,969.4,224,5,38,7
23.1,0.12,114,38.7,10.5,413,76,58,471,434,489,18.9,44.8,0,969.4,224,5,38,130
21.8,0.12,78,17.2,8.6,160,227,86,246,181,403,19.7,42.7,0,969.2,226,3.6,69,110
21.9,0.12,78,15.6,8.6,159,239,91,251,182,418,19.7,42.6,0,969.7,226,3.6,69,110
21.9,0.12,78,15.6,8.6,159,239,91,251,182,418,19.7,42.6,0,969.7,226,3.6,69,100
21.7,0.12,78,20.1,8.6,141,257,97,238,167,406,19.5,42.9,0,968.4,226,3.6,69,4
21.7,0.12,78,20.1,8.6,141,257,97,238,167,406,19.5,42.9,0,968.4,226,3.6,69,750
17.6,0.12,35,0,10.2,0,0,0,0,0,0,24.6,61.8,0,969.3,215,1.8,103,560
16.8,0.12,22,0,11,0,0,0,0,0,0,26.2,68.8,0,969.8,215,1.8,108,390
16.8,0.12,22,0,11,0,0,0,0,0,0,26.2,68.8,0,969.8,215,1.8,108,390
16.6,0.12,22,0,10.9,0,0,0,0,0,0,26,68.9,0,968.5,215,1.8,108,130
16.6,0.12,22,0,10.9,0,0,0,0,0,0,26,68.9,0,968.5,215,1.8,108,28
14.9,0.11,-21,68.6,14.4,0,0,0,0,0,0,29.4,96.4,0,968.8,214,1.7,109,35
15,0.11,-21,67.6,14.4,0,0,0,0,0,0,29.5,96.4,0,969.3,213,1.7,109,45
15,0.11,-21,67.6,14.4,0,0,0,0,0,0,29.5,96.4,0,969.3,213,1.7,109,130
14.6,0.11,-35,54.9,14,0,0,0,0,0,0,28.7,96,0,967.8,203,1.7,104,35
14.6,0.11,-35,54.9,14,0,0,0,0,0,0,28.7,96,0,967.8,203,1.7,104,780
14.9,0.11,-68,81.2,13.8,22,0,0,22,20,22,26.7,93.4,0,968.1,201,2.4,79,680
15.3,0.11,-78,83.7,14,49,0,0,49,45,49,26.1,91.9,0,968.5,207,2.9,69,1300
15.3,0.11,-78,83.7,14,49,0,0,49,45,49,26.1,91.9,0,968.5,207,2.9,69,650
15.1,0.11,-78,79.9,13.9,59,0,0,59,54,59,26,92.5,0,967.2,207,2.9,69,7
15.1,0.11,-78,79.9,13.9,59,0,0,59,54,59,26,92.5,0,967.2,207,2.9,69,520
18.6,0.11,-133,61.9,15.4,323,0,0,323,292,323,25.2,81.3,0,967.2,211,3.5,29,520
18.7,0.11,-133,64.3,15.3,302,0,0,302,274,302,25.2,81,0,967.7,211,3.5,29,1300
18.7,0.11,-133,64.3,15.3,302,0,0,302,274,302,25.2,81,0,967.7,211,3.5,29,390
17.6,0.11,-113,72.8,15.1,204,0,0,204,185,204,25,85.1,0,966.6,210,3.3,38,390
17.6,0.11,-113,72.8,15.1,204,0,0,204,185,204,25,85.1,0,966.6,210,3.3,38,70
20.7,0.11,134,49.5,15.9,413,22,18,431,392,433,26.1,74.4,0,966.6,217,4,29,100
20.7,0.11,134,47.7,16,427,23,20,446,407,449,26.1,74.4,0,967,217,3.9,29,260
20.7,0.11,134,47.7,16,427,23,20,446,407,449,26.1,74.4,0,967,217,3.9,29,80
20,0.11,114,35,16,418,92,71,489,450,509,26,78,0,965.6,218,3.9,38,130
20,0.11,114,35,16,418,92,71,489,450,509,26,78,0,965.6,218,3.9,38,20
17.2,0.11,69,10.1,16.1,78,200,38,116,60,169,24.7,93.3,0,965.8,209,2.3,79,80
17.9,0.11,78,20.9,16.2,162,183,67,229,171,361,25.2,89.8,0,966.5,213,2.9,68,40
17.9,0.11,78,20.9,16.2,162,183,67,229,171,361,25.2,89.8,0,966.5,213,2.9,68,15
17.9,0.11,78,32.3,16.1,151,141,56,207,162,306,25.2,89.5,0,965.2,215,2.9,69,10
17.9,0.11,78,32.3,16.1,151,141,56,207,162,306,25.2,89.5,0,965.2,215,2.9,69,35
15.5,0.11,35,0,14.8,0,0,0,0,0,0,24.7,96,0,966.2,184,1.6,103,18
15.5,0.11,35,0,14.9,0,0,0,0,0,0,24.7,95.9,0,966.7,183,1.6,103,50
15.5,0.11,35,0,14.9,0,0,0,0,0,0,24.7,95.9,0,966.7,183,1.6,103,200
15.4,0.11,35,0,14.8,0,0,0,0,0,0,24.6,96.1,0,965.4,186,1.6,103,3
15.4,0.11,35,0,14.8,0,0,0,0,0,0,24.6,96.1,0,965.4,186,1.6,103,5
16,0.11,-21,0,14.6,0,0,0,0,0,0,23.3,91.8,0,965.6,166,1.7,109,10
16,0.11,-21,0,14.6,0,0,0,0,0,0,23.2,91.6,0,966.1,165,1.7,109,70
15.6,0.11,-35,0,14.3,0,0,0,0,0,0,24.4,92,0,965.7,175,1.6,104,60
15.5,0.11,-35,0,14.3,0,0,0,0,0,0,24.5,92.4,0,964.5,177,1.7,104,30
15.5,0.11,-35,0,14.3,0,0,0,0,0,0,24.5,92.4,0,964.5,177,1.7,104,130
15.3,0.11,-68,85.4,14.5,17,0,0,17,15,17,28.8,95.1,0,964.5,198,1.9,79,35
15.3,0.11,-68,85.1,14.5,18,0,0,18,16,18,28.8,95,0,965,198,1.9,79,45
15.3,0.11,-68,85.1,14.5,18,0,0,18,16,18,28.8,95,0,965,198,1.9,79,60
15.5,0.11,-35,0,14.3,0,0,0,0,0,0,24.5,92.4,0,964.5,177,1.7,104,60
15.5,0.11,-35,0,14.3,0,0,0,0,0,0,24.5,92.4,0,964.5,177,1.7,104,55
17.2,0.12,-21,46,16.2,0,0,0,0,0,0,32.6,93.9,0,976.3,54,3.4,108,5
17.3,0.12,-21,44.5,16.3,0,0,0,0,0,0,32.7,93.8,0,976.7,54,3.4,108,13
17.3,0.12,-21,44.5,16.3,0,0,0,0,0,0,32.7,93.8,0,976.7,54,3.4,108,12
17.2,0.12,-34,47.2,15.6,0,0,0,0,0,0,31.7,90.6,0,975.8,53,3.4,104,6
